ExperimentName	Subject	Session	SessionDate	SessionTime	LineNumber	RunningSample	ACC	CRESP	RESP	RT	CurrentObject	ComponentName	CurrentFixationDuration	CursorX	CursorY	RTTime	RTTimeMicro	RTTimeReceived	RTTimeReceivedMicro	SystemTimestamp	HardwareTimestamp	HostTimestamp	SEQD	SEQH	GazePointValidityLeftEye	GazePointPositionDisplayXLeftEye	GazePointPositionDisplayYLeftEye	GazePointValidityRightEye	GazePointPositionDisplayXRightEye	GazePointPositionDisplayYRightEye	GazePointPositionUserXLeftEye	GazePointPositionUserYLeftEye	GazePointPositionUserZLeftEye	GazePointPositionUserXRightEye	GazePointPositionUserYRightEye	GazePointPositionUserZRightEye	GazeOriginValidityLeftEye	GazeOriginPositionUserXLeftEye	GazeOriginPositionUserYLeftEye	GazeOriginPositionUserZLeftEye	GazeOriginValidityRightEye	GazeOriginPositionUserXRightEye	GazeOriginPositionUserYRightEye	GazeOriginPositionUserZRightEye	GazeOriginPositionTrackBoxXLeftEye	GazeOriginPositionTrackBoxYLeftEye	GazeOriginPositionTrackBoxZLeftEye	GazeOriginPositionTrackBoxXRightEye	GazeOriginPositionTrackBoxYRightEye	GazeOriginPositionTrackBoxZRightEye	PupilValidityLeftEye	PupilDiameterLeftEye	PupilValidityRightEye	PupilDiameterRightEye	Image1	Picture	Tekst
PosterExperimentFinal	37	1	02-16-2023	15:34:55	35	1	0		1	8143	Fixation1	State1	92	1240	637	121453	121453669	121471	121471073	21354599310	21370996839	21354616714	315	14157	1	0.64911	0.54527	1	0.64297	0.51668	76.79887	157.02000	46.50881	73.59421	165.79034	49.70095	1	-37.03984	30.03679	557.26093	1	26.02458	29.51684	559.18579	0.58825	0.44388	0.25350	0.43445	0.44498	0.25625	1	2.63362	1	2.67744	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	36	1	0		1	8143	Fixation1	State1	96	1236	636	121457	121457669	121475	121475154	21354603310	21371000839	21354620795	316	14158	1	0.64575	0.53855	1	0.64222	0.52310	75.04640	159.07887	47.25817	73.20179	163.81856	48.98330	1	-37.04304	30.03308	557.22614	1	26.02024	29.52003	559.17737	0.58826	0.44388	0.25342	0.43446	0.44497	0.25623	1	2.60988	1	2.70790	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	37	1	0		1	8143	Fixation1	State1	100	1236	634	121461	121461670	121479	121479179	21354607310	21371004839	21354624819	317	14159	1	0.64612	0.54566	1	0.64208	0.51118	75.23752	156.89841	46.46455	73.12731	167.47583	50.31442	1	-37.04297	30.03191	557.21729	1	26.02178	29.52077	559.22058	0.58826	0.44388	0.25340	0.43447	0.44498	0.25633	1	2.61473	1	2.69608	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	38	1	0		1	8143	Fixation1	State1	104	1237	626	121465	121465669	121483	121483056	21354611310	21371008839	21354628697	318	14160	1	0.64739	0.53253	1	0.64154	0.51165	75.90360	160.92705	47.93087	72.84480	167.33296	50.26240	1	-37.04729	30.03382	557.20795	1	26.01750	29.52398	559.21228	0.58828	0.44388	0.25338	0.43448	0.44497	0.25631	1	2.60129	1	2.68074	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	39	1	0		1	8143	Fixation1	State1	108	1243	627	121469	121469669	121487	121487140	21354615310	21371012839	21354632781	319	14161	1	0.64925	0.53411	1	0.64653	0.51244	76.87469	160.44125	47.75401	75.45407	167.08955	50.17387	1	-37.04836	30.02906	557.19080	1	26.01169	29.52040	559.18658	0.58828	0.44388	0.25334	0.43449	0.44497	0.25625	1	2.58284	1	2.67554	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	40	1	0		1	8143	Fixation1	State1	112	1243	633	121473	121473671	121490	121490931	21354619312	21371016841	21354636572	320	14162	1	0.65018	0.53498	1	0.64474	0.52120	77.36051	160.17642	47.65769	74.51595	164.40302	49.19601	1	-37.05722	30.03172	557.25043	1	26.01076	29.51770	559.16931	0.58829	0.44389	0.25347	0.43449	0.44498	0.25621	1	2.59755	1	2.70538	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	41	1	0		1	8143	Fixation1	State1	116	1238	632	121477	121477672	121494	121494992	21354623312	21371020841	21354640632	321	14163	1	0.64744	0.53154	1	0.64242	0.52210	75.92548	161.22940	48.04093	73.30347	164.12570	49.09510	1	-37.05493	30.02485	557.19012	1	26.00978	29.51996	559.23016	0.58830	0.44389	0.25334	0.43450	0.44498	0.25635	1	2.58450	1	2.69183	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	42	1	0		1	8143	Fixation1	State1	120	1239	635	121481	121481671	121498	121498575	21354627312	21371024841	21354644216	322	14164	1	0.64742	0.53035	1	0.64408	0.52868	75.91669	161.59615	48.17438	74.17374	162.10840	48.36087	1	-37.06562	30.02679	557.23218	1	26.00167	29.51899	559.20477	0.58832	0.44390	0.25344	0.43451	0.44498	0.25629	1	2.59268	1	2.70277	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	43	1	0		1	8143	Fixation1	State1	124	1241	639	121485	121485671	121502	121502265	21354631312	21371028841	21354647906	323	14165	1	0.64771	0.53821	1	0.64503	0.52722	76.07042	159.18567	47.29705	74.66930	162.55559	48.52359	1	-37.06584	30.02672	557.23132	1	26.00172	29.52163	559.26526	0.58832	0.44390	0.25343	0.43452	0.44498	0.25642	1	2.59544	1	2.69934	FinalWorkshopInformative.png		
PosterExperimentFinal	37	1	02-16-2023	15:34:55	44	1	0		1	8143	Fixation1	State1	128	1236	634	121489	121489671	121506	121506303	21354635312	21371032841	21354651944	324	14166	1	0.64727	0.53042	1	0.64056	0.52627	75.84023	161.57455	48.16653	72.33624	162.84787	48.62998	1	-37.07423	30.01948	557.20544	1	25.99453	29.51971	559.25732	0.58834	0.44391	0.25338	0.43454	0.44499	0.25640	1	2.58707	1	2.70506	FinalWorkshopInformative.png		
